api_id,config_file,huggingface_id,status
ai21/jamba-large-1.7,ai21labs_AI21-Jamba-Large-1.7.json,ai21labs/AI21-Jamba-Large-1.7,matched
allenai/olmo-2-0325-32b-instruct,allenai_olmo-2-0325-32b-instruct.json,allenai/olmo-2-0325-32b-instruct,matched
alpindale/goliath-120b,alpindale_goliath-120b.json,alpindale/goliath-120b,matched
anthracite-org/magnum-v4-72b,anthracite-org_magnum-v4-72b.json,anthracite-org/magnum-v4-72b,matched
arliai/qwq-32b-arliai-rpr-v1,arliai_qwq-32b-arliai-rpr-v1.json,arliai/qwq-32b-arliai-rpr-v1,matched
baidu/ernie-4.5-300b-a47b,baidu_ERNIE-4.5-300B-A47B-PT.json,baidu/ERNIE-4.5-300B-A47B-PT,matched
baidu/ernie-4.5-vl-424b-a47b,baidu_ernie-4.5-vl-424b-a47b.json,baidu/ernie-4.5-vl-424b-a47b,matched
cohere/command-a,CohereLabs_c4ai-command-a-03-2025.json,CohereLabs/c4ai-command-a-03-2025,matched
deepcogito/cogito-v2-preview-llama-109b-moe,deepcogito_cogito-v2-preview-llama-109b-moe.json,deepcogito/cogito-v2-preview-llama-109b-moe,matched
deepcogito/cogito-v2-preview-llama-405b,deepcogito_cogito-v2-preview-llama-405b.json,deepcogito/cogito-v2-preview-llama-405b,matched
deepcogito/cogito-v2-preview-llama-70b,deepcogito_cogito-v2-preview-llama-70b.json,deepcogito/cogito-v2-preview-llama-70b,matched
deepcogito/cogito-v2.1-671b,deepcogito_cogito-671b-v2.1.json,deepcogito/cogito-671b-v2.1,matched
deepseek/deepseek-chat-v3-0324,deepseek-ai_DeepSeek-V3-0324.json,deepseek-ai/DeepSeek-V3-0324,matched
deepseek/deepseek-chat-v3.1,deepseek-ai_DeepSeek-V3.1.json,deepseek-ai/DeepSeek-V3.1,matched
deepseek/deepseek-prover-v2,deepseek-ai_DeepSeek-Prover-V2-671B.json,deepseek-ai/DeepSeek-Prover-V2-671B,matched
deepseek/deepseek-r1,deepseek_deepseek-r1.json,deepseek/deepseek-r1,matched
deepseek/deepseek-r1-0528,deepseek_deepseek-r1-0528.json,deepseek/deepseek-r1-0528,matched
deepseek/deepseek-r1-distill-llama-70b,deepseek_deepseek-r1-distill-llama-70b.json,deepseek/deepseek-r1-distill-llama-70b,matched
deepseek/deepseek-r1-distill-qwen-32b,deepseek_deepseek-r1-distill-qwen-32b.json,deepseek/deepseek-r1-distill-qwen-32b,matched
deepseek/deepseek-v3.1-terminus,deepseek_deepseek-v3.1-terminus.json,deepseek/deepseek-v3.1-terminus,matched
deepseek/deepseek-v3.2,deepseek_deepseek-v3.2.json,deepseek/deepseek-v3.2,matched
deepseek/deepseek-v3.2-exp,deepseek_deepseek-v3.2-exp.json,deepseek/deepseek-v3.2-exp,matched
deepseek/deepseek-v3.2-speciale,deepseek_deepseek-v3.2-speciale.json,deepseek/deepseek-v3.2-speciale,matched
inclusionai/ling-1t,inclusionai_ling-1t.json,inclusionai/ling-1t,matched
inclusionai/ling-flash-2.0,inclusionai_ling-flash-2.0.json,inclusionai/ling-flash-2.0,matched
inclusionai/ming-flash-omni-preview,inclusionai_ming-flash-omni-preview.json,inclusionai/ming-flash-omni-preview,matched
inclusionai/ring-1t,inclusionai_ring-1t.json,inclusionai/ring-1t,matched
inclusionai/ring-flash-2.0,inclusionai_ring-flash-2.0.json,inclusionai/ring-flash-2.0,matched
meituan/longcat-flash-chat,meituan-longcat_LongCat-Flash-Chat.json,meituan-longcat/LongCat-Flash-Chat,matched
meta-llama/llama-3.1-405b,meta-llama_llama-3.1-405b.json,meta-llama/llama-3.1-405b,matched
meta-llama/llama-3.1-405b-instruct,meta-llama_llama-3.1-405b-instruct.json,meta-llama/llama-3.1-405b-instruct,matched
meta-llama/llama-3.1-70b-instruct,meta-llama_llama-3.1-70b-instruct.json,meta-llama/llama-3.1-70b-instruct,matched
meta-llama/llama-3.3-70b-instruct,meta-llama_llama-3.3-70b-instruct.json,meta-llama/llama-3.3-70b-instruct,matched
meta-llama/llama-4-maverick,meta-llama_Llama-4-Maverick-17B-128E-Instruct.json,meta-llama/Llama-4-Maverick-17B-128E-Instruct,matched
meta-llama/llama-4-scout,meta-llama_Llama-4-Scout-17B-16E.json,meta-llama/Llama-4-Scout-17B-16E,matched
minimax/minimax-01,MiniMaxAI_MiniMax-Text-01.json,MiniMaxAI/MiniMax-Text-01,matched
minimax/minimax-m1,minimax_minimax-m1.json,minimax/minimax-m1,matched
minimax/minimax-m2,minimax_minimax-m2.json,minimax/minimax-m2,matched
